toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad
101.01,231663901,KP,1.4303699,2458326.009117,2018-09-05 18:49:20,2024-09-06 10:08:02,318.737012,-55.871863,12.4069,5600.0,0.890774
102.01,149603524,KP,4.4119372,2460982.065462,2019-05-07 17:42:37,2026-04-17 10:08:01,87.139821,-63.988329,9.7109,6280.0,1.21
103.01,336732616,KP,3.547854,2458327.25256,2018-09-05 18:49:20,2024-09-07 10:08:02,312.457488,-24.428694,11.5232,6351.0,1.4
104.01,231670397,KP,4.0872956,2460150.608677,2018-09-05 18:49:20,2023-10-16 16:02:02,319.949697,-58.148933,9.8638,6036.0,2.2186699
105.01,144065872,KP,2.1846669,2460904.412675,2018-09-05 18:49:20,2026-04-08 16:00:02,337.457824,-48.003099,9.4995,5630.0,1.23824
106.01,38846515,KP,2.8493827,2460988.068249,2019-05-07 17:42:35,2026-02-17 16:00:01,68.959816,-64.027039,10.3157,6900.0,1.77
107.01,92352620,KP,3.9502008,2460176.993334,2018-09-05 18:49:20,2023-11-15 16:02:02,313.783239,-34.135751,9.6433,6153.0,1.71
108.01,289793076,KP,3.0440495,2458328.085025,2018-09-05 18:49:20,2026-01-10 10:08:01,316.96148,-26.09672,13.163,5523.0,0.809868
109.01,29344935,KP,2.76676,2458326.127479,2018-09-05 18:34:19,2024-09-09 10:08:01,313.215475,-25.687376,13.2366,5346.0,0.984866
110.01,281459670,KP,3.1743504,2458328.039934,2018-11-14 15:06:55,2024-09-09 10:08:01,5.618525,-59.942589,11.6714,5943.0,1.15706
111.01,355703913,KP,2.1061569,2458326.105486,2018-10-22 18:35:39,2024-03-14 16:54:32,0.774487,-62.469317,13.183,5380.0,0.940697
112.01,388104525,KP,2.4997996,2460069.773646,2019-05-07 17:42:43,2023-08-10 16:02:02,55.933639,-65.19378,11.6035,5650.0,1.13732
113.01,97409519,KP,3.372877,2458327.053085,2018-09-05 18:49:20,2021-10-29 12:59:15,332.714337,-30.749719,12.1893,6050.0,1.02
114.01,25155310,KP,3.2887898,2458327.519958,2019-05-07 17:42:34,2024-09-09 10:08:01,63.374706,-69.226593,10.6103,5800.0,1.24175
115.01,281541555,KP,4.7423709,2458329.903155,2018-10-22 18:35:28,2024-09-09 10:08:01,6.70264,-56.316102,13.0417,5377.0,0.877585
116.01,238176110,KP,2.7985802,2458326.688916,2018-09-05 18:49:20,2024-09-09 10:08:01,357.846434,-70.152862,11.0443,4920.0,0.906655
117.01,322307342,KP,3.5862962,2459063.655791,2018-09-05 18:50:25,2022-10-17 16:02:02,15.006077,-58.904724,11.7806,5704.8,2.00441
126.01,70440470,KP,3.0354017,2458326.730861,2018-11-07 18:01:53,2025-09-20 10:08:01,339.489275,-35.154203,12.7923,5751.0,1.07224
143.01,25375553,KP,2.3109689,2460155.87081,2018-09-05 18:51:57,2023-11-15 16:02:02,328.767739,-22.6126,9.77486,6371.0,1.95411
178.04,251848941,KP,3.2384253,2458356.107512,2021-11-18 23:34:22,2021-11-21 12:01:55,7.302011,-30.454116,10.42,4111.0,0.660806
178.05,251848941,KP,15.2321843,2458364.914977,2025-06-05 20:44:24,2025-09-03 16:00:01,7.302011,-30.454116,10.42,4111.0,0.660806
185.01,100100827,KP,0.9414525,2460205.353322,2018-12-20 17:24:11,2023-11-03 10:08:02,24.354462,-45.677794,8.8287,6400.0,1.35
190.01,166739520,KP,10.0205932,2460982.967362,2018-12-20 17:24:11,2026-04-17 10:08:01,36.775811,-50.284425,9.6411,6038.0,1.27527
191.01,183532609,KP,8.1587261,2460202.792714,2018-11-03 00:53:39,2023-11-03 10:08:02,359.900874,-35.031335,9.1468,5600.0,1.0
192.01,183537452,KP,3.9227113,2460929.713786,2018-11-03 00:53:39,2026-02-26 16:00:02,357.879198,-39.907121,10.2499,4800.0,0.64
194.01,211438925,KP,4.8996461,2460198.831716,2018-11-03 00:53:39,2023-11-03 10:08:02,5.160562,-23.935789,10.248,5940.0,1.5
195.01,230982885,KP,2.0727598,2458355.490424,2018-11-03 00:53:39,2023-11-03 10:08:02,24.605139,-55.772001,9.9696,5640.0,1.13
228.01,77044471,KP,2.6865064,2458356.100116,2018-11-29 21:52:42,2026-01-26 16:00:01,358.558844,-30.013038,13.2576,5738.0,1.18274
229.01,120610833,KP,3.1260751,2458354.77371,2018-11-29 21:52:42,2026-01-26 16:00:01,5.237757,-35.998465,11.5005,5100.0,0.874706
231.01,204376737,KP,3.3610013,2458357.394744,2018-11-29 21:52:42,2024-09-19 10:08:01,348.157128,-22.674125,11.4779,5375.0,0.817705
232.01,402026209,KP,1.3382314,2458355.184421,2018-11-29 21:52:42,2024-06-03 10:08:02,353.562915,-42.061779,11.8295,5436.0,0.894974
239.01,9725627,KP,4.1567834,2458356.962228,2018-11-29 21:52:42,2024-11-27 10:08:01,358.408479,-10.118118,10.9774,6362.5,1.38831
241.01,77031414,KP,1.3866519,2458355.195919,2018-11-29 21:52:42,2021-12-08 16:02:02,354.168696,-34.611304,10.9571,6286.0,1.07661
246.01,158623531,KP,7.8728937,2458355.73229,2018-12-20 17:24:11,2021-12-02 10:10:02,24.167869,-50.659308,11.2794,5070.0,1.26
247.01,160148385,KP,3.4252563,2458354.319774,2018-11-29 21:52:42,2024-09-19 10:08:01,1.04657,-47.360635,11.9116,5540.0,1.11655
250.01,184240683,KP,1.6284288,2458355.508611,2018-11-29 21:52:42,2024-09-09 10:08:01,359.349028,-41.27722,11.5464,5700.0,1.0941
255.01,204317710,KP,2.8126485,2459090.083321,2018-11-29 21:52:42,2021-12-09 10:10:02,346.075086,-21.272017,13.7426,5700.0,1.00957
256.01,92226327,KP,24.7373412,2458399.928643,2018-11-30 22:06:23,2021-10-29 12:59:15,11.248632,-15.274109,11.2991,3131.0,0.215535
256.02,92226327,KP,3.7779418,2459141.100488,2018-11-30 22:06:23,2021-12-01 16:02:01,11.248632,-15.274109,11.2991,3131.0,0.215535
259.01,12862099,KP,2.4238226,2458386.578118,2018-11-30 22:06:23,2021-12-08 10:10:01,3.903273,-11.938264,12.3993,5410.0,0.93
264.01,122612091,KP,2.2167436,2460988.072434,2019-06-06 20:53:59,2026-04-17 10:08:01,41.040078,-30.169078,10.4614,6250.0,2.66
265.01,159951311,KP,5.9242661,2459169.574874,2019-06-06 20:53:59,2024-09-09 10:08:01,49.562173,-41.302023,11.7276,5310.0,0.846671
267.01,166836920,KP,5.7525804,2460988.126499,2018-11-30 22:06:24,2026-04-17 10:08:01,39.897669,-50.008193,8.93,6180.0,1.70927
272.01,268766053,KP,3.3098458,2459140.875701,2018-11-30 22:06:25,2024-09-09 10:08:01,31.909164,-20.661843,11.7617,4953.0,0.858619
295.01,327952677,KP,3.3969441,2459090.143839,2018-12-20 19:43:30,2024-04-25 10:08:01,359.091858,-13.271638,12.141,5864.0,1.27071
303.01,145750719,KP,3.5608112,2459468.532701,2018-12-20 19:43:30,2022-10-20 16:02:02,341.364034,-14.991775,12.0213,5659.0,1.47
306.01,114749636,KP,4.6027498,2459089.500823,2018-12-20 19:43:30,2025-08-29 16:00:02,359.191512,-22.153232,11.7607,5909.0,1.3408999
338.01,116156517,KP,5.36777,2459108.86073,2018-12-20 19:43:30,2022-10-20 16:02:02,7.709529,-40.573461,11.3151,6561.0,1.72
351.01,228381868,KP,3.4654953,2459091.364241,2018-12-20 19:43:30,2024-03-14 16:54:32,357.580647,-17.077595,12.0719,5570.3,1.77738
388.01,422655579,KP,2.9036858,2460985.806844,2019-02-08 20:04:48,2026-04-17 10:08:01,29.263451,0.758825,10.1638,6059.0,2.14325
391.01,382391899,KP,1.9550932,2459169.669461,2019-02-08 20:04:48,2021-12-02 16:02:01,43.688074,-10.898024,11.0529,5400.0,0.873418
398.01,1129033,KP,1.3600283,2459168.520849,2019-02-08 20:04:48,2021-12-02 16:02:01,37.155522,-7.060667,9.62713,5500.0,0.933975
