toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad,label
118.01,266980320,CP,6.0344634,2460899.883842,2018-09-05 18:51:57,2026-04-09 10:08:01,349.559266,-56.903986,9.179,5586.0,1.05,1
120.01,394137592,CP,11.535076,2458332.082805,2018-09-05 18:34:19,2021-12-08 10:10:01,4.447163,-66.358928,7.1062,5479.3,2.48771,1
122.01,231702397,CP,5.0780325,2458329.118988,2018-09-05 18:51:57,2024-09-09 10:08:01,332.948236,-58.946085,13.084,3318.0,0.334125,1
123.01,290131778,CP,3.3088922,2460175.035028,2018-09-05 18:51:57,2023-11-15 16:02:02,319.699588,-26.616374,7.87598,6188.0,2.62,1
125.01,52368076,CP,4.6517186,2460206.744249,2018-10-19 23:49:42,2023-11-15 16:02:02,23.593425,-66.676349,10.1985,5154.0,0.85,1
125.02,52368076,CP,9.1549418,2460202.049893,2018-10-19 23:49:42,2024-10-03 10:08:02,23.593425,-66.676349,10.1985,5154.0,0.85,1
125.03,52368076,CP,19.9815709,2460181.146579,2018-10-19 23:49:42,2023-10-18 10:08:02,23.593425,-66.676349,10.1985,5154.0,0.85,1
127.01,234523599,CP,3.7955178,2458325.650603,2018-11-14 15:06:55,2021-12-09 10:10:02,15.551889,-61.756133,14.1266,3424.0,0.445372,1
128.01,391949880,CP,4.9404714,2460175.867159,2018-09-05 18:34:19,2023-11-16 16:02:02,79.520938,-80.964384,7.9849,6086.0,1.13,1
129.01,201248411,CP,0.980972,2460205.646862,2018-10-22 19:57:31,2023-11-15 16:02:02,0.185606,-54.830823,9.9005,4486.0,0.764401,1
130.01,263003176,CP,14.3392144,2458336.557651,2018-09-05 18:34:18,2024-09-18 10:08:02,12.546778,-83.743767,7.4371,6295.7,1.1374201,1
132.01,89020549,CP,2.1096805,2458326.904918,2018-09-05 18:51:57,2025-06-04 16:00:01,338.399662,-43.436872,10.8061,5673.0,0.940806,1
134.01,234994474,CP,1.4015183,2458326.034032,2018-09-05 18:51:57,2024-10-01 10:08:01,350.028592,-60.065729,9.22978,3794.0,0.597007,1
135.01,267263253,CP,4.1269046,2460174.637067,2018-09-05 18:51:57,2023-11-16 16:02:02,7.328916,-76.304032,9.2205,6888.0,1.59,1
136.01,410153553,CP,0.4629304,2458325.724125,2018-09-05 18:51:57,2026-01-12 10:08:02,340.496204,-69.172108,11.9238,3043.0,0.188624,1
137.01,176957796,FA,4.8173797,2459199.440315,2018-09-05 18:34:18,2021-12-08 10:10:01,101.297491,-66.238326,10.702,4651.0,0.69,0
139.01,62483237,CP,11.0708575,2458334.891563,2018-09-05 18:51:57,2024-09-10 10:08:02,336.402414,-34.909713,9.3636,4356.0,0.700727,1
141.01,403224672,CP,1.0082361,2460178.671412,2018-09-05 18:51:57,2023-11-15 16:02:02,338.983717,-59.864829,7.384,5795.29,1.13,1
144.01,261136679,CP,6.267832,2460011.550653,2019-05-07 17:42:40,2023-04-04 16:02:02,84.29928,-80.464604,5.1054,5950.0,1.15,1
146.01,355636844,FP,6.30556,2459080.90325,2018-09-05 18:35:00,2026-06-26 16:00:02,358.302034,-56.013252,10.7124,,,0
147.01,220435095,FP,3.4231002,2460185.36556,2018-09-05 18:35:00,2023-11-27 10:08:02,73.641474,-57.513453,11.8999,5620.9,2.6126101,0
148.01,393940766,CP,4.8670758,2459062.261122,2018-09-05 18:52:24,2026-03-09 10:08:01,338.320803,-38.159828,11.7835,5814.3,1.15,1
150.01,271893367,CP,5.8574075,2459995.645628,2018-09-05 18:34:59,2023-10-05 14:31:09,112.965421,-73.606036,10.9031,5982.9,1.67987,1
151.01,382302241,FP,1.59782,2458326.05013,2018-09-05 18:34:59,2021-12-07 16:02:02,83.349121,-58.745093,11.0264,5037.6,0.79,0
152.01,403287048,FP,7.00776,2458327.92337,2018-09-05 18:52:24,2021-12-07 16:02:02,332.357482,-62.334453,11.3569,6347.0,1.22,0
154.01,389525208,FP,6.74657,2458329.36085,2018-09-05 18:52:24,2021-12-07 16:02:02,313.261454,-38.594923,10.0704,5910.7,2.57,0
156.01,220518305,FP,14.1520377,2460968.40875,2018-09-05 18:34:59,2026-04-18 10:08:02,41.467598,-64.320687,10.294,5823.9,1.28,0
157.01,140691463,CP,2.0845434,2458543.338324,2018-09-05 18:34:59,2024-02-15 10:08:02,73.70144,-76.680606,12.0166,5638.0,1.10646,1
158.01,403136413,FP,2.51266,2458326.37811,2018-09-05 18:52:24,2021-12-07 16:02:02,333.578718,-55.378981,11.2314,5988.0,2.3,0
159.01,394657039,CP,3.7628372,2459382.232709,2018-09-05 18:52:24,2026-05-07 12:03:59,51.782268,-78.549831,10.5132,6979.2,1.58746,1
160.01,253917293,FP,4.608,2458327.37627,2018-09-05 18:52:24,2021-12-07 16:02:02,337.500827,-31.924356,11.2901,5935.0,1.28,0
163.01,179317684,CP,4.2311173,2458544.670293,2018-09-05 18:34:59,2024-02-15 10:08:02,79.768253,-71.895527,10.8719,6671.0,1.6640199,1
164.01,79395355,FP,7.31898,2458328.33733,2018-09-05 18:52:24,2021-12-07 16:02:02,320.054292,-51.309972,11.407,5926.0,1.3,0
165.01,350743714,FP,7.757643,2460746.619767,2018-11-30 22:06:25,2025-09-02 16:00:02,88.886226,-57.290745,9.6686,6038.0,1.91151,0
169.01,183120439,CP,2.2554459,2459062.718052,2018-09-05 18:52:24,2022-10-17 16:02:02,16.778688,-75.198945,11.788,5817.0,1.29661,1
171.02,309257814,FP,1.8135767,2458569.773308,2019-06-11 20:03:40,2025-01-14 16:02:02,124.269428,-63.213403,11.6626,5237.0,1.1072299,0
172.01,29857954,CP,9.47686,2458326.92242,2018-09-05 18:52:24,2022-10-17 16:02:02,316.631879,-26.692865,10.7379,5801.8,1.79,1
174.01,425997655,CP,17.6671735,2460957.73363,2019-05-07 17:42:43,2026-03-03 10:08:02,55.459031,-62.767267,8.7513,4813.0,0.69,1
174.02,425997655,CP,29.7975386,2460932.688545,2019-05-17 18:40:33,2026-04-09 16:00:01,55.459031,-62.767267,8.7513,4813.0,0.69,1
174.03,425997655,CP,12.1623046,2460987.123543,2019-05-17 18:40:33,2026-04-09 16:00:01,55.459031,-62.767267,8.7513,4813.0,0.69,1
174.04,425997655,CP,3.9766833,2460203.017928,2019-05-17 18:40:33,2023-11-15 16:02:02,55.459031,-62.767267,8.7513,4813.0,0.69,1
174.05,425997655,CP,7.9076301,2460987.803312,2021-10-21 22:15:40,2026-04-09 16:00:01,55.459031,-62.767267,8.7513,4813.0,0.69,1
175.01,307210830,CP,3.6906759,2460688.70837,2019-05-07 17:42:41,2025-07-09 16:00:02,124.53286,-68.314466,9.41242,3469.0,0.31,1
175.02,307210830,CP,7.4507305,2460039.154503,2019-05-07 17:42:41,2023-05-11 16:02:02,124.53286,-68.314466,9.41242,3469.0,0.31,1
175.03,307210830,CP,2.2531062,2458354.907237,2019-05-07 17:42:41,2025-07-09 16:00:02,124.53286,-68.314466,9.41242,3469.0,0.31416,1
176.01,272086159,FP,16.155373,2458649.291373,2019-05-07 17:42:40,2023-10-28 10:08:02,115.003473,-72.205678,13.4004,3270.0,0.271,0
177.01,262530407,CP,2.8531016,2460204.963281,2018-12-20 17:24:11,2026-03-05 10:08:02,20.438428,-46.714723,9.49275,3703.0,0.52,1
178.01,251848941,CP,6.5578513,2460196.437088,2018-11-03 00:53:39,2026-03-31 12:08:36,7.302011,-30.454116,10.42,4111.0,0.66,1
178.02,251848941,CP,20.708504,2458354.55219,2018-11-03 00:53:39,2026-03-31 12:08:36,7.302011,-30.454116,10.42,4111.0,0.701202,1
178.03,251848941,CP,9.9616347,2458362.954199,2018-11-03 00:53:39,2024-10-03 10:08:02,7.302011,-30.454116,10.42,4111.0,0.660806,1
179.01,207141131,CP,4.1374403,2460985.999063,2018-12-20 17:24:11,2026-04-17 10:08:01,44.262014,-56.191869,8.1796,5058.0,0.802633,1
181.01,76923707,CP,4.5320502,2458358.118263,2018-11-03 00:36:48,2026-01-12 16:00:02,352.172541,-34.49141,10.4654,4983.0,0.805573,1
183.01,183979262,FP,3.4307565,2459063.727306,2018-11-03 00:53:39,2021-12-06 10:10:01,21.650295,-72.748874,8.3291,6270.0,2.72192,0
184.01,300871545,FP,4.8170684,2460186.764732,2018-10-19 23:49:46,2023-11-03 10:08:02,117.657401,-70.533461,10.0433,6380.0,1.44956,0
186.01,279741379,CP,35.6133889,2460985.704053,2018-12-04 21:48:30,2026-04-09 16:00:01,51.750188,-63.500166,6.9934,4628.53,0.71,1
186.02,279741379,CP,7.7897886,2460980.806574,2020-07-09 13:30:18,2026-04-09 16:00:01,51.750188,-63.500166,6.9934,4628.53,0.71,1
189.01,278866211,FP,2.1940616,2460876.857996,2018-10-19 23:49:46,2025-11-05 10:08:02,100.807811,-55.244376,10.2638,6054.0,1.04092,0
193.01,183985250,CP,0.7920645,2460933.175839,2018-11-03 00:53:39,2026-03-05 10:08:02,358.668877,-37.628224,9.1031,5422.0,0.98,1
197.01,441462736,CP,14.2811731,2460927.616153,2018-10-22 19:57:36,2026-02-26 16:00:02,353.033186,-21.801201,7.3566,5105.0,2.90324,1
198.01,12421862,CP,10.2152025,2458356.371864,2018-11-03 01:49:39,2026-01-12 16:00:02,2.271509,-27.121745,9.92801,3763.0,0.447336,1
199.01,309792357,CP,104.8724252,2460877.951041,2018-12-04 21:48:38,2026-04-09 16:00:01,80.105873,-59.895433,10.0391,5350.0,0.88,1
200.01,410214986,CP,8.1382222,2458332.308323,2018-11-09 21:01:14,2024-09-05 10:08:02,354.915467,-69.196043,7.8541,5414.0,0.951985,1
201.01,350618622,CP,52.9787392,2460972.002829,2019-05-07 17:42:42,2026-04-09 16:00:01,87.401782,-54.910423,8.5822,6461.8,1.33031,1
203.01,259962054,FA,51.94509,2459106.86029,2018-10-22 18:35:20,2024-09-05 10:08:02,43.018076,-67.687016,12.2423,3203.0,0.23,0
206.01,55650590,CP,0.7363132,2458325.542536,2019-05-17 18:40:33,2024-01-17 16:02:04,73.73822,-62.521874,12.4312,3358.0,0.351676,1
207.01,260271203,FP,5.6492853,2458330.097007,2019-01-31 17:54:50,2024-09-05 10:08:02,94.218082,-58.229798,13.4734,5963.0,1.21025,0
216.01,55652896,CP,34.5059318,2458331.488563,2019-05-07 17:42:36,2024-09-10 10:08:02,73.980013,-63.26033,11.5748,5025.77,0.801736,1
216.02,55652896,CP,17.3890454,2459340.904719,2019-05-07 17:42:36,2023-11-14 12:02:50,73.980013,-63.26033,11.5748,5025.77,0.801736,1
217.01,260043723,FP,3.1385856,2460982.315462,2018-10-22 18:35:20,2026-04-18 10:08:02,91.608698,-58.953703,8.735,6278.0,1.55,0
219.01,260609205,FP,4.4617755,2460184.852236,2018-10-22 18:35:22,2023-12-20 10:08:02,97.453898,-57.254816,12.7222,6354.0,2.23892,0
220.01,150098860,CP,10.6953065,2460966.946848,2019-05-07 17:42:37,2026-02-17 16:00:01,91.799699,-61.99721,9.6878,5272.71,0.88,1
221.01,316937670,FP,0.62425,2458325.342966,2018-11-14 15:06:55,2022-10-03 16:02:02,356.492464,-56.344047,12.1535,3765.0,0.525,0
222.01,144440290,FP,,2458376.544,2018-11-16 21:15:19,2022-10-03 16:02:02,359.162484,-44.719403,8.7635,5709.0,1.0929,0
223.01,326453034,FA,14.445918,2458355.95751,2018-11-29 21:52:42,2021-10-29 12:59:15,339.677571,-25.631849,10.2733,5063.0,0.87237,0
226.01,47484268,FP,,2458358.500535,2018-11-16 21:15:42,2022-10-03 16:02:02,342.967188,-24.78778,12.4253,3396.0,0.334,0
227.01,2760710,FA,,2458364.102069,2018-11-16 21:15:45,2025-01-14 16:02:02,356.527357,-16.691464,13.8409,2808.0,0.128,0
230.01,160074939,FA,13.340145,2458366.329788,2018-11-29 21:52:42,2025-04-10 12:03:03,346.319169,-36.945639,8.7435,6467.0,1.57943,0
236.01,9727392,FP,4.534451,2458355.325711,2018-11-29 21:52:42,2022-10-20 16:02:02,358.444734,-10.884958,11.2932,6421.5,1.47459,0
237.01,305048087,CP,5.4361667,2458355.241753,2018-11-29 21:52:42,2026-01-12 16:00:02,353.243538,-29.416487,13.4102,3139.0,0.211299,1
238.01,9006668,CP,1.2730965,2460205.747992,2018-11-29 21:52:42,2024-04-26 10:08:02,349.231081,-18.606646,9.926601,5024.0,0.77,1
242.01,120585579,FP,6.340315,2458357.778211,2018-11-29 21:52:42,2022-10-20 16:02:02,4.451423,-38.110855,12.5766,6083.0,1.2666,0
244.01,118327550,CP,7.397216,2458357.364688,2018-11-29 21:52:42,2025-06-04 16:00:01,10.569754,-36.717974,10.3475,3342.0,0.407103,1
251.01,224225541,CP,4.9377227,2458357.305138,2018-11-29 21:52:42,2024-09-09 10:08:01,353.062066,-37.255863,9.3258,5862.0,0.955756,1
254.01,49687222,FA,20.186539,2458360.073308,2018-11-29 21:52:42,2022-10-03 16:02:02,351.705383,-11.725573,9.8343,6101.0,1.01859,0
257.01,200723869,CP,18.3877081,2459121.270086,2019-01-16 19:24:30,2024-09-09 10:08:01,47.517261,-50.832263,7.0286,6382.7,1.76557,1
258.01,350445771,FP,3.1901569,2458326.804271,2018-12-04 21:48:44,2023-11-01 10:08:02,85.467425,-56.740455,11.0932,6474.57,1.98958,0
260.01,37749396,CP,13.4758478,2458392.294018,2018-11-30 22:06:23,2026-01-12 16:00:02,4.773018,-9.96615,8.4991,4111.0,0.618173,1
261.01,63898957,CP,3.3639254,2458383.915624,2018-11-30 22:06:23,2021-10-29 12:59:15,15.218141,-24.423993,9.03971,5890.3,1.28018,1
261.02,63898957,CP,13.0393586,2458389.727185,2018-11-30 22:06:23,2022-01-22 12:02:01,15.218141,-24.423993,9.03971,5890.3,1.31383,1
262.01,70513361,CP,11.1452784,2459136.576258,2018-11-30 22:06:23,2021-12-01 16:02:01,32.534687,-31.070627,8.1345,5302.58,0.848675,1
263.01,120916706,CP,0.5568212,2460934.124059,2018-11-30 22:06:24,2026-04-09 16:00:01,37.108277,-25.097329,15.6198,3116.0,0.439738,1
266.01,164767175,CP,10.7511248,2460973.354682,2018-11-30 22:06:24,2026-04-17 10:08:01,26.209253,-18.401384,9.45661,5784.0,0.918917,1
266.02,164767175,CP,19.6050966,2460986.17995,2018-11-30 22:06:24,2026-04-17 10:08:01,26.209253,-18.401384,9.45661,5784.0,0.918917,1
269.01,220479565,CP,3.6977167,2458381.845549,2019-05-17 18:40:33,2024-02-13 10:08:02,75.846283,-54.177721,12.2958,3607.0,0.397924,1
270.01,259377017,CP,5.6604773,2460982.004741,2019-05-17 18:40:33,2026-04-17 10:08:01,68.41608,-51.957394,10.4981,3551.0,0.374358,1
270.02,259377017,CP,11.3796991,2460984.247091,2019-05-17 18:40:33,2026-04-17 10:08:01,68.41608,-51.957394,10.4981,3551.0,0.374358,1
270.03,259377017,CP,3.3601671,2460987.858405,2019-05-17 18:40:33,2026-03-04 16:00:01,68.41608,-51.957394,10.4981,3551.0,0.374358,1
273.01,279740441,FP,0.7418594,2458386.095087,2018-11-30 22:06:25,2021-12-06 10:10:01,51.504472,-64.548108,11.481,4304.6,0.66174,0
274.01,281979481,FP,0.5417947,2459362.157241,2018-11-30 22:06:25,2026-02-25 16:00:02,130.505379,-75.801869,10.4929,5181.0,0.807298,0
276.01,382188882,FP,4.8000953,2459328.579795,2018-11-30 22:06:26,2023-11-01 10:08:02,81.353084,-55.019925,10.6559,6366.0,1.58083,0
277.01,439456714,CP,3.9934418,2458385.036312,2018-11-30 22:06:26,2023-03-03 12:03:04,19.076698,-20.953277,11.7315,3748.0,0.523113,1
282.01,29781292,CP,56.0045056,2460129.286313,2019-05-07 17:42:35,2023-11-16 16:02:02,65.238307,-68.102688,8.9387,6321.0,1.41189,1
282.02,29781292,FA,31.32312,2459044.82593,2018-12-20 17:40:26,2021-10-29 12:59:15,65.238307,-68.102688,8.9387,6321.0,1.41,0
282.03,29781292,CP,84.2607645,2458355.648726,2019-06-06 20:53:59,2024-02-13 10:08:02,65.238307,-68.102688,8.9387,6321.0,1.41189,1
282.04,29781292,CP,22.8909897,2460954.388955,2021-10-21 22:15:40,2026-04-17 10:08:01,65.238307,-68.102688,8.9387,6321.0,1.41,1
283.01,382626661,CP,17.6174716,2460940.862484,2019-05-07 17:42:43,2026-04-17 10:08:01,118.569306,-65.441482,9.6768,5250.0,0.81,1
