toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad
"1063.01",406976746,"PC",10.0665238,2458629.3916810,"2019-08-16 20:20:49","2025-07-09 16:00:02",230.5554930,-83.0562140,9.0689000,5552.0000000,0.7917420
"1064.01",79748331,"CP",6.4438657,2458656.6684780,"2019-08-16 20:20:42","2024-04-25 10:08:01",296.0039350,-47.5620300,10.0059000,4803.0000000,0.7371890
"1064.02",79748331,"CP",12.2265595,2458664.4901320,"2019-08-16 20:20:42","2024-04-25 10:08:01",296.0039350,-47.5620300,10.0059000,4803.0000000,0.7371890
"1065.01",7088246,"KP",2.1605155,2458654.3457550,"2019-08-16 20:20:41","2026-04-15 10:08:02",286.3667500,-50.0673500,13.2851000,5780.0000000,1.2000000
"1066.01",201604954,"KP",4.6061840,2458657.8325370,"2019-08-16 20:20:44","2021-10-29 12:59:15",285.0965170,-54.8933410,11.9707000,5670.0000000,1.0700000
"1067.01",201642601,"KP",3.1316735,2458656.9878740,"2019-08-16 20:20:44","2024-03-14 16:54:32",288.6720050,-59.5793500,13.1686000,4351.0000000,0.7670100
"1068.01",6663331,"KP",3.1803620,2458656.6332310,"2019-08-16 20:20:41","2021-10-29 12:59:15",284.3997620,-49.1385130,13.2887000,5498.0000000,0.9200000
"1069.01",31858843,"KP",2.9776446,2460147.3787640,"2019-08-16 20:20:41","2023-10-16 16:02:02",289.4792120,-32.8601240,10.4293000,5703.0000000,1.2200000
"107.01",92352620,"KP",3.9502008,2460176.9933340,"2018-09-05 18:49:20","2023-11-15 16:02:02",313.7832390,-34.1357510,9.6433000,6153.0000000,1.7100000
"1070.01",31858844,"FP",2.9776152,2458655.5792410,"2019-08-16 20:20:41","2021-10-29 12:59:15",289.4785410,-32.8613270,15.7114000,5740.0000000,1.2800000
"1071.01",120247528,"KP",3.5544026,2458655.3940590,"2019-08-16 20:20:42","2025-08-29 16:00:02",280.1841690,-58.4593880,11.5803000,5639.0000000,1.1149900
"1072.01",140830390,"FP",12.8379689,2459211.7321460,"2019-08-16 20:20:43","2021-10-29 12:59:15",75.6273070,-72.9139980,11.7106000,5765.0000000,2.4494000
"1073.01",158297421,"CP",3.9228016,2459036.4728120,"2019-08-16 20:20:43","2021-12-09 10:10:02",287.4844020,-49.6649420,13.6699000,4444.0000000,0.6983000
"1074.01",327301957,"PC",13.9428705,2458662.6526850,"2019-08-16 20:20:47","2024-09-19 10:08:01",310.7610040,-72.0102670,10.6339000,5206.0000000,0.7416710
"1075.01",351601843,"CP",0.6047392,2458654.2495030,"2019-08-16 20:20:48","2024-09-09 10:08:01",309.9712090,-65.4496990,11.1186000,4046.0000000,0.5803370
