toi,tid,split,label,disposition,stage1_score,stage2_score
1000.01,50365310,train,0,FP,0.490265429019928,
1002.01,124709665,train,0,FP,0.4617388844490051,
1003.01,106997505,train,0,FP,0.48138847947120667,
1004.01,238597883,train,0,FP,0.5080609917640686,
1005.01,169904935,train,0,FP,0.4569080173969269,
1006.01,156115721,train,0,FP,0.4804680645465851,
1008.01,440801822,train,0,FP,0.48264747858047485,
1010.01,139853601,train,0,FP,0.2500316798686981,
1013.01,97700520,train,0,FP,0.38838428258895874,
1014.01,96246348,train,0,FP,0.324034184217453,
1015.01,155044736,train,0,FP,0.40199384093284607,
1016.01,175310067,train,0,FP,0.5061654448509216,
1017.01,182943944,train,0,FP,0.34305649995803833,
1018.01,291555748,train,0,FP,0.4494956433773041,
1020.01,140706664,train,0,FP,0.4789271354675293,
1021.01,143994283,train,0,FP,0.3607109785079956,
1022.01,47384844,train,0,FA,0.5465957522392273,
1023.01,238374636,train,0,FP,0.36707308888435364,
1024.01,141482386,train,0,FP,0.49971380829811096,
1025.01,297967252,train,0,FP,0.4456055760383606,
1026.01,388624270,train,0,FP,0.4830920696258545,
1028.01,447283466,train,0,FP,0.5001703500747681,
1030.01,464296022,train,0,FP,0.5060769319534302,
1031.01,304021498,train,0,FP,0.48775264620780945,
1033.01,149601557,train,0,FP,0.549812376499176,
1034.01,400595342,train,0,FP,0.3967670798301697,
1037.01,363260203,train,0,FP,0.4758509397506714,
1038.01,90544017,train,0,FP,0.36028245091438293,
1040.01,310483807,train,0,FP,0.5086049437522888,
1041.01,385624852,train,0,FP,0.40212714672088623,
1042.01,360286627,train,0,FP,0.5052633881568909,
1043.01,90448944,train,0,FP,0.4895390570163727,
1045.01,54044474,train,0,FP,0.4713802635669708,
1046.01,309787037,train,0,FP,0.512631356716156,
1047.01,370745311,train,0,FP,0.42439162731170654,
1048.01,384549882,train,0,FP,0.48413896560668945,
1051.01,259863352,train,0,FA,0.5079946517944336,
1052.01,317060587,train,1,CP,0.5420121550559998,
1053.01,112395568,train,0,FP,0.3438989818096161,
1054.01,366989877,train,1,CP,0.5190220475196838,
1055.01,320004517,train,1,CP,0.5059038400650024,
1061.01,253990973,train,0,FP,0.47023263573646545,
1062.01,299799658,train,1,CP,0.5365759134292603,
1064.01,79748331,train,1,CP,0.48470476269721985,
1064.02,79748331,train,1,CP,0.48470476269721985,
1070.01,31858844,train,0,FP,0.41868263483047485,
1072.01,140830390,train,0,FP,0.5463374853134155,
1073.01,158297421,train,1,CP,0.4914676547050476,
1075.01,351601843,train,1,CP,0.44394391775131226,
1078.01,370133522,train,1,CP,0.504812479019165,
1080.01,161032923,train,1,CP,0.48430052399635315,
1087.01,426077080,train,0,FP,0.5113863348960876,
1088.01,343648136,train,0,FA,0.510607898235321,
1089.01,129319156,train,0,FP,0.5347031950950623,
1092.01,387079085,train,0,FP,0.2698473334312439,
1093.01,382331352,train,0,FP,0.39645272493362427,
1096.01,375225453,train,0,FP,0.5334711074829102,
1097.01,360630575,test,1,CP,0.49961763620376587,0.6718691370691829
1097.02,360630575,test,1,CP,0.49961763620376587,0.6718691370691829
1098.01,383390264,train,1,CP,0.48455050587654114,
1099.01,290348383,train,1,CP,0.516302227973938,
1100.01,318608749,train,0,FP,0.4389343559741974,
1101.01,271581073,train,0,FP,0.426570326089859,
1104.01,451599528,train,0,FP,0.502394437789917,
1107.01,394561119,train,1,CP,0.4929596185684204,
1108.01,295599256,train,0,FP,0.43770352005958557,
1109.01,50309953,train,0,FP,0.38464364409446716,
1110.01,446549905,train,0,FP,0.4865598976612091,
1111.01,412014494,train,0,FP,0.5206493735313416,
1112.01,369864738,train,0,FP,0.5169326663017273,
1120.01,143257766,train,0,FP,0.3341659903526306,
1127.01,269450900,train,0,FP,0.518134593963623,
1128.01,425721385,train,0,FP,0.42633888125419617,
1130.01,254113311,train,1,CP,0.43551871180534363,
1130.02,254113311,train,1,CP,0.43551871180534363,
1132.01,267489265,train,0,FP,0.5428862571716309,
1133.01,69997672,train,0,FP,0.49421432614326477,
1134.01,122220263,train,0,FP,0.47767743468284607,
1135.01,154872375,train,1,CP,0.5261611342430115,
1136.01,142276270,train,1,CP,0.5213478803634644,
1136.02,142276270,train,1,CP,0.5213478803634644,
1136.03,142276270,train,1,CP,0.5213478803634644,
1136.04,142276270,train,1,CP,0.5213478803634644,
1138.01,110428269,train,0,FP,0.4885041117668152,
1140.01,320525204,train,0,FP,0.46712663769721985,
1141.01,159510109,train,0,FP,0.6564504504203796,
1142.01,284450803,train,0,FP,0.4123222827911377,
1143.01,160268701,train,0,FP,0.5828682780265808,
1145.01,350995812,train,0,FP,0.48364388942718506,
1146.01,21755546,train,0,FP,0.4898168444633484,
1147.01,288391628,train,0,FP,0.5504060983657837,
1152.01,237184773,train,0,FA,0.612440288066864,
1155.01,161450762,train,0,FP,0.4653873145580292,
1156.01,117256577,train,0,FP,0.49332669377326965,
1157.01,147576037,train,0,FP,0.4863886535167694,
1158.01,379931600,train,0,FP,0.6384329199790955,
1159.01,48188920,train,0,FP,0.32004794478416443,
1160.01,89510024,train,0,FP,0.48005908727645874,
1166.01,138361973,train,0,FP,0.4859767556190491,
1167.01,232967666,train,0,FP,0.48834535479545593,
1168.01,41330864,train,0,FP,0.37667709589004517,
1170.01,294176967,train,0,FP,0.4783586263656616,
1171.01,101929303,train,0,FP,0.5012998580932617,
1172.01,1717732429,train,0,FP,0.5883395671844482,
1173.01,232967440,train,1,CP,0.6398013830184937,
1174.01,154089169,train,1,CP,0.4025525748729706,
1175.01,30329585,train,0,FP,0.5517845153808594,
1178.01,359496368,train,0,FP,0.4808011054992676,
118.01,266980320,train,1,CP,0.4924551546573639,
1180.01,158002130,train,1,CP,0.49710187315940857,
1181.01,229510866,train,1,CP,0.683581531047821,
1182.01,341544930,train,0,FP,0.5102378129959106,
1183.01,258777137,train,0,FP,0.459725022315979,
1184.01,233087860,train,1,CP,0.5418902635574341,
1186.01,289539327,train,0,FP,0.5726522207260132,
1188.01,15247229,train,0,FP,0.4839669167995453,
1191.01,237185205,train,0,FP,0.48748087882995605,
1193.01,89643259,train,0,FP,0.529267430305481,
1194.01,147950620,train,1,CP,0.6497466564178467,
1195.01,24364065,train,0,FP,0.5106136202812195,
1199.01,99869022,train,1,CP,0.4887464642524719,
120.01,394137592,train,1,CP,0.18639186024665833,
1200.01,288185138,train,0,FP,0.44610658288002014,
1201.01,29960110,train,1,CP,0.5090446472167969,
1203.01,23434737,train,1,CP,0.5021010637283325,
1206.01,308034948,train,0,FP,0.4914221167564392,
1210.01,33878688,train,0,FP,0.5303364396095276,
1213.01,399144800,train,0,FP,0.4881806969642639,
122.01,231702397,train,1,CP,0.45274338126182556,
1221.01,349095149,train,1,CP,0.48798564076423645,
1223.01,382437043,train,0,FP,0.5324626564979553,
1224.01,299798795,test,1,CP,0.08241580426692963,0.24818529912479032
1224.02,299798795,test,1,CP,0.08241580426692963,0.24818529912479032
1227.01,360156606,train,1,CP,0.5367706418037415,
1228.01,300038935,train,1,CP,0.4350453019142151,
123.01,290131778,train,1,CP,0.6235091686248779,
1230.01,287156968,train,1,CP,0.377882182598114,
1231.01,447061717,train,1,CP,0.524133563041687,
1232.01,364395234,train,1,CP,0.5051629543304443,
1233.01,260647166,train,1,CP,0.42005425691604614,
1233.02,260647166,train,1,CP,0.42005425691604614,
1233.03,260647166,train,1,CP,0.42005425691604614,
1233.04,260647166,train,1,CP,0.42005425691604614,
1234.01,90504905,train,0,FP,0.49712592363357544,
1235.01,103633434,train,1,CP,0.46078988909721375,
1238.01,153951307,train,1,CP,0.44658133387565613,
1238.02,153951307,train,1,CP,0.44658133387565613,
1243.01,219698776,train,1,CP,0.41182368993759155,
1244.01,219850915,train,1,CP,0.5330811142921448,
1246.01,230127302,train,1,CP,0.47865527868270874,
1246.02,230127302,train,1,CP,0.47865527868270874,
1246.03,230127302,train,1,CP,0.47865527868270874,
1246.04,230127302,train,1,CP,0.47865527868270874,
1247.01,232540264,train,1,CP,0.44670623540878296,
1248.01,232612416,train,1,CP,0.5238137245178223,
1249.01,232976128,train,1,CP,0.5016000866889954,
125.01,52368076,train,1,CP,0.46390435099601746,
125.02,52368076,train,1,CP,0.46390435099601746,
125.03,52368076,train,1,CP,0.46390435099601746,
1250.01,233059608,train,0,FA,0.4228581190109253,
1253.01,233684822,train,0,FP,0.4477939307689667,
1255.01,237222864,train,1,CP,0.5108029842376709,
1256.01,274762761,train,0,FP,0.4856332242488861,
1259.01,288735205,train,1,CP,0.5337491631507874,
